Delay (Seconds) - Plot 0,g(2) - Plot 0
-930.986p,7.26761
-850.03p,1.6525
-769.075p,4.22147
-688.12p,0.641867
-607.165p,1.66228
-526.209p,0.299154
-445.254p,1.18375
-364.299p,0.133274
-283.343p,0.646614
-202.388p,0.129802
-121.433p,0.642471
-40.4776p,0.118892
40.4776p,0.82348
121.433p,0.240337
202.388p,2.09388
283.343p,0.633204
364.299p,4.57721
445.254p,0.999664
526.209p,9.91474
607.165p,2.73795
688.12p,22.3082
769.075p,5.69061
850.03p,36.2535
930.986p,10.7978
1.01194n,44.9908
1.0929n,13.635
1.17385n,63.1373
1.25481n,15.4426
1.33576n,73.5651
1.41672n,18.8758
1.49767n,74.0346
1.57863n,14.5014
1.65958n,70.659
1.74054n,21.0262
1.82149n,82.2698
1.90245n,18.3464
1.9834n,94.6317
2.06436n,18.6664
2.14531n,96.5546
2.22627n,20.9291
2.30723n,104.789
2.38818n,21.0456
2.46914n,99.9143
2.55009n,22.937
2.63105n,95.1653
2.712n,26.5249
2.79296n,107.583
2.87391n,22.5569
2.95487n,101.837
3.03582n,25.9542
3.11678n,98.5991
3.19773n,23.0774
3.27869n,89.5088
3.35964n,23.0198
3.4406n,96.8616
3.52155n,22.4318
3.60251n,105.279
3.68346n,22.1584
3.76442n,88.3015
3.84538n,24.1143
3.92633n,98.1731
4.00729n,23.3689
4.08824n,104.671
4.1692n,24.6649
4.25015n,92.4656
4.33111n,28.7052
4.41206n,93.9475
4.49302n,23.6895
4.57397n,94.5899
4.65493n,18.6921
4.73588n,79.6564
4.81684n,13.9441
4.89779n,76.5247
4.97875n,12.5723
5.0597n,40.3697
5.14066n,14.2038
5.22162n,51.7251
5.30257n,11.9241
5.38353n,49.3831
5.46448n,11.9432
5.54544n,66.6446
5.62639n,14.9102
5.70735n,59.7164
5.7883n,14.8222
5.86926n,60.6238
5.95021n,12.4568
6.03117n,51.9421
6.11212n,12.4997
6.19308n,60.4224
6.27403n,10.4183
6.35499n,52.8829
6.43594n,15.761
6.5169n,51.7427
6.59785n,11.3383
6.67881n,55.7973
6.75977n,8.90569
6.84072n,56.8686
6.92168n,10.889
7.00263n,52.205
7.08359n,7.55598
7.16454n,50.4346
7.2455n,11.9286
7.32645n,64.0836
7.40741n,8.32046
7.48836n,47.5535
7.56932n,11.6761
7.65027n,54.2754
7.73123n,12.09
7.81218n,69.2111
7.89314n,13.9105
7.97409n,48.8348
8.05505n,10.8328
8.136n,57.6328
8.21696n,13.7299
8.29792n,39.0184
8.37887n,10.4802
8.45983n,60.5024
8.54078n,15.7684
8.62174n,57.4222
8.70269n,11.1495
8.78365n,59.5313
8.8646n,9.52241
8.94556n,62.8545
9.02651n,9.62999
9.10747n,58.1602
9.18842n,11.4098
9.26938n,56.6942
9.35033n,11.3613
9.43129n,59.5347
9.51224n,13.6194
9.5932n,68.1888
9.67416n,10.4862
9.75511n,62.1385
9.83607n,11.5619
9.91702n,68.3688
9.99798n,14.0638
10.0789n,48.9839
10.1599n,9.83884
10.2408n,55.0796
10.3218n,10.4429
10.4028n,71.2363
10.4837n,12.7384
10.5647n,56.0896
10.6456n,11.2165
10.7266n,53.4515
10.8075n,14.552
10.8885n,66.4532
10.9694n,13.1901
11.0504n,61.8809
11.1313n,9.38525
11.2123n,45.0114
11.2933n,10.8627
11.3742n,45.6521
11.4552n,12.2794
11.5361n,53.9073
11.6171n,9.87698
11.698n,40.3626
11.779n,12.3942
11.8599n,53.8144
11.9409n,9.75757
12.0219n,49.4955
12.1028n,12.4618
12.1838n,43.6862
12.2647n,10.8328
12.3457n,60.2591
12.4266n,8.55803
12.5076n,58.9318
12.5885n,9.2316
12.6695n,55.5482
12.7505n,13.2828
12.8314n,51.2333
12.9124n,11.057
12.9933n,50.8545
13.0743n,10.856
13.1552n,56.7093
13.2362n,9.68915
13.3171n,60.886
13.3981n,8.18871
13.4791n,55.0892
13.56n,14.4677
13.641n,54.0127
13.7219n,13.3319
13.8029n,63.6159
13.8838n,13.6112
13.9648n,59.1552
14.0457n,14.0465
14.1267n,51.5827
14.2077n,12.5035
14.2886n,53.8108
14.3696n,11.2831
14.4505n,56.6519
14.5315n,11.8702
14.6124n,54.5827
14.6934n,13.8088
14.7743n,54.9166
14.8553n,13.4839
14.9362n,65.6312
15.0172n,12.3512
15.0982n,58.8725
15.1791n,12.1237
15.2601n,40.3732
15.341n,9.85987
15.422n,46.1199
15.5029n,12.5792
15.5839n,52.7175
15.6648n,10.8361
15.7458n,50.1738
15.8268n,9.36336
15.9077n,59.5513
15.9887n,14.154
16.0696n,52.9262
16.1506n,10.6439
16.2315n,53.6595
16.3125n,11.5742
16.3934n,54.3139
16.4744n,8.90302
16.5554n,39.048
16.6363n,11.1243
16.7173n,51.3719
16.7982n,12.7477
16.8792n,54.5224
16.9601n,11.7488
17.0411n,46.5226
17.122n,12.534
17.203n,54.8961
17.284n,15.6436
17.3649n,83.4498
17.4459n,12.0987
17.5268n,56.5554
17.6078n,11.4908
17.6887n,65.6488
17.7697n,10.6821
17.8506n,56.4508
17.9316n,14.8898
18.0125n,52.0416
18.0935n,10.9742
18.1745n,49.2943
18.2554n,9.92434
18.3364n,54.8814
18.4173n,15.386
18.4983n,63.1096
18.5792n,15.0967
18.6602n,51.1018
18.7411n,15.9221
18.8221n,52.6194
18.9031n,14.9574
18.984n,53.2003
19.065n,10.2573
19.1459n,48.5647
19.2269n,9.28442
19.3078n,53.9677
19.3888n,8.32107
19.4697n,52.0345
19.5507n,11.1007
19.6317n,55.5922
19.7126n,10.0057
19.7936n,53.7103
19.8745n,11.875
19.9555n,50.7252
20.0364n,10.2258
20.1174n,45.0858
20.1983n,9.19049
20.2793n,32.1969
20.3603n,11.1959
20.4412n,44.7733
20.5222n,6.86987
20.6031n,38.4999
20.6841n,8.54565
20.765n,43.4517
20.846n,10.2545
20.9269n,48.7352
21.0079n,9.16993
21.0888n,42.9586
21.1698n,10.8663
21.2508n,55.3603
21.3317n,9.40048
21.4127n,63.2369
21.4936n,11.037
21.5746n,53.3914
21.6555n,12.9655
21.7365n,50.4234
21.8174n,15.2496
21.8984n,50.9881
21.9794n,9.9902
22.0603n,50.7226
22.1413n,13.8632
22.2222n,44.813
22.3032n,8.09458
22.3841n,56.0762
22.4651n,11.6424
22.546n,62.0973
22.627n,7.0555
22.708n,50.0298
22.7889n,9.51087
22.8699n,58.4369
22.9508n,10.0023
23.0318n,58.6902
23.1127n,14.1711
23.1937n,56.6332
23.2746n,12.3236
23.3556n,47.2929
23.4366n,12.6887
23.5175n,52.8829
23.5985n,14.0942
23.6794n,47.0921
23.7604n,12.801
23.8413n,43.6746
23.9223n,13.6724
24.0032n,43.3842
24.0842n,10.7957
24.1651n,52.3977
24.2461n,13.4635
24.3271n,45.3393
24.408n,10.5645
24.489n,45.032
24.5699n,14.1326
24.6509n,63.8466
24.7318n,10.3817
24.8128n,47.3539
24.8937n,13.6929
24.9747n,57.6608
25.0557n,13.9974
25.1366n,57.0992
25.2176n,13.1901
25.2985n,56.2207
25.3795n,8.92175
25.4604n,46.5828
25.5414n,12.3792
25.6223n,55.5995
25.7033n,10.3222
25.7843n,55.5675
25.8652n,14.161
25.9462n,45.7374
26.0271n,8.85787
26.1081n,46.6258
26.189n,12.0632
26.27n,55.2332
26.3509n,12.8617
26.4319n,53.7496
26.5129n,11.8288
26.5938n,54.3083
26.6748n,9.3825
26.7557n,49.3097
26.8367n,9.46395
26.9176n,61.1224
26.9986n,7.7598
27.0795n,52.2135
27.1605n,13.6283
27.2414n,52.7508
27.3224n,10.3939
27.4034n,50.2621
27.4843n,11.3597
27.5653n,47.2011
27.6462n,11.9992
27.7272n,49.7124
27.8081n,11.258
27.8891n,57.5908
27.97n,11.5035
28.051n,55.7582
28.132n,10.9704
28.2129n,49.0467
28.2939n,14.4251
28.3748n,66.2351
28.4558n,11.2628
28.5367n,50.9435
28.6177n,10.9331
28.6986n,56.639
28.7796n,12.01
28.8606n,48.0176
28.9415n,12.6431
29.0225n,55.4361
29.1034n,11.8884
29.1844n,55.1052
29.2653n,8.21817
29.3463n,51.4536
29.4272n,13.9394
29.5082n,55.5283
29.5892n,9.68662
29.6701n,56.1512
29.7511n,12.8118
29.832n,67.4711
29.913n,13.2384
29.9939n,57.7408
30.0749n,10.1721
30.1558n,39.7023
30.2368n,8.92175
30.3177n,54.0712
30.3987n,11.0071
30.4797n,59.0946
30.5606n,8.34296
30.6416n,56.5484
30.7225n,8.5941
30.8035n,68.8403
30.8844n,10.9215
30.9654n,53.2376
31.0463n,8.55172
31.1273n,49.0608
31.2083n,11.1788
31.2892n,54.7787
31.3702n,12.7409
31.4511n,53.0986
31.5321n,12.2538
31.613n,54.0979
31.694n,17.1263
31.7749n,54.4147
31.8559n,10.9052
31.9369n,62.7464
32.0178n,14.2029
32.0988n,51.3572
32.1797n,13.3401
32.2607n,54.2034
32.3416n,14.6587
32.4226n,47.1429
32.5035n,11.5753
32.5845n,48.3647
32.6655n,11.3524
32.7464n,63.6422
32.8274n,14.6934
32.9083n,54.5511
32.9893n,13.0291
33.0702n,51.5871
33.1512n,12.1599
33.2321n,47.7907
33.3131n,15.8316
33.394n,54.7186
33.475n,11.4198
33.556n,56.2756
33.6369n,11.9597
33.7179n,54.2768
33.7988n,13.5226
33.8798n,63.2014
33.9607n,14.3174
34.0417n,62.2773
34.1226n,12.0172
34.2036n,50.8344
34.2846n,10.9971
34.3655n,50.8025
34.4465n,7.37196
34.5274n,51.9759
34.6084n,11.3034
34.6893n,60.6164
34.7703n,10.8886
34.8512n,60.0264
34.9322n,13.9054
35.0132n,52.2991
35.0941n,7.90419
35.1751n,57.9099
35.256n,11.9139
35.337n,56.0302
35.4179n,10.8117
35.4989n,56.1134
35.5798n,12.039
35.6608n,51.3495
35.7418n,9.76333
35.8227n,55.2332
